courseName,universityName,facultyName,isItFullTime,description,startDate,fees,modality,duration,city,country,administration,url,description_lemmatized,courseName_lemmatized,universityName_lemmatized,city_lemmatized,fees_USD
Healthcare Analytics and Artificial Intelligence (MSc),Sheffield Hallam University,Postgraduate Courses,"['Full Time', 'Part Time']","Shape the future of healthcare, from vision to practice, using state-of-the-art technologies in data analytics and artificial intelligence.",September,"Our tuition fee for UK students starting full-time study in 2024/25 is £10,310 for the course.  Please see the university website for further information on fees for this course.",MSc,"1 year full time, 2 years part time",Sheffield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/healthcare-analytics-and-artificial-intelligence-msc/?i219d2021c68034,shape futur healthcar vision practic use stateoftheart technolog data analyt artifici intellig,healthcar analyt artifici intellig msc,sheffield hallam univers,sheffield,8179.64
Diagnostic Radiography MSc,University College Cork,College of Medicine and Health,['Full Time'],"Our MSc Diagnostic Radiography programme is an intensive pre-registration course for students with a primary degree in a subject other than diagnostic radiography. The programme uses the learning and teaching methods that best support students to develop the knowledge, skills, and professional attributes necessary for effective radiography practice.The aim of this programme is to provide each student with an excellent educational experience both in academic and clinical environments. This ensures graduates that can contribute to the constantly advancing and evolving nature of healthcare requirements.",September,"The EU fee for this course is €11,130 (Year 1); €11,130 (Year 2).  The Non-EU fee for this course is €20,500 (Year 1); €20,500 (Year 2).",MSc,2 years full time,Cork,Ireland,On Campus,https://www.findamasters.com/masters-degrees/course/diagnostic-radiography-msc/?i271d8009c62028,msc diagnost radiographi programm intens preregistr cours student primari degre subject diagnost radiographi programm use learn teach method best support student develop knowledg skill profession attribut necessari effect radiographi practiceth aim programm provid student excel educ experi academ clinic environ ensur graduat contribut constantli advanc evolv natur healthcar requir,diagnost radiographi msc,univers colleg cork,cork,18737.2
Advanced Radiotherapy and Oncology Practice - MSc,University of Hertfordshire,School of Health and Social Work,"['Full Time', 'Part Time', 'Online']",The Advanced Radiotherapy and Oncology practice pathway specialises in the field of radiotherapeutic practice. Many of the options develop competencies for advanced practice such as in the palliative care and breast localisation modules. The programme is designed to enhance your current knowledge and understanding and give you opportunities to challenge and critically evaluate your professional practice.Professional Accreditation The MSc Medical Imaging and Radiation Sciences – Advanced Radiotherapy and Oncology Practice programme is endorsed by the College of Radiographers.,September,"£810.00 per 15 credits - unless a module is premium priced, costs can be found by visiting by visiting Fees and Finance Policy. Also, prices may differ for students that are assessed as EU Overseas/Overseas. Fees status will normally stay with the student for the remainder of their course.",MSc,Up to 6 years,Hatfield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-radiotherapy-and-oncology-practice-msc/?i313d1159c61842,advanc radiotherapi oncolog practic pathway specialis field radiotherapeut practic mani option develop compet advanc practic palli care breast localis modul programm design enhanc current knowledg understand give opportun challeng critic evalu profession practiceprofession accredit msc medic imag radiat scienc – advanc radiotherapi oncolog practic programm endors colleg radiograph,advanc radiotherapi oncolog practic msc,univers hertfordshir,hatfield,642.63
Advanced Clinical Practice (Cardiovascular Health),Brunel University London,Advanced Clinical Practice,"['Full Time', 'Part Time']","Are you interested in gaining knowledge, practical, leadership and research skills in the area of cardiovascular health? Do you currently work in a clinical or health setting delivering cardiovascular disease prevention strategies or rehabilitative care? Or would you like to do so in the future? This programme aims to enhance an array of career opportunities - whether this be in clinical practice, academic research, leadership or community health and wellbeing.     ",See Course,"2022/23 fees UK £8,735 International £20,450","PGCert,MSc,PGDip",1 - 3 years,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-clinical-practice-cardiovascular-health/?i28d8736c67519,interest gain knowledg practic leadership research skill area cardiovascular health current work clinic health set deliv cardiovascular diseas prevent strategi rehabilit care would like futur programm aim enhanc array career opportun whether clinic practic academ research leadership commun health wellb,advanc clinic practic cardiovascular health,brunel univers london,london,16224.42
Diagnostic Imaging (Medical Ultrasound) MSc,University of Leeds,School of Medicine,['Part Time'],"The most advanced qualification we offer in Medical Ultrasound, our MSc is rooted in expertise. At the forefront of advanced and consultant practice, you will explore current issues and research relating to Medical Ultrasound and its role in the diagnosis and management of disease.Shaped around the training priorities of the NHS development framework, we provide comprehensive education in Medical Ultrasound clinical techniques and core scientific principles. Advance your career and develop into a highly skilled practitioner – you'll soon be ready to make an impact on patient outcomes through your work in this vital field.Make an impactThis course gives you the opportunity to:",September,"UK: £13,500 (Total) International: £30,999 (Total)",MSc,3 years part time,Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/diagnostic-imaging-medical-ultrasound-msc/?i321d6216c67542,advanc qualif offer medic ultrasound msc root expertis forefront advanc consult practic explor current issu research relat medic ultrasound role diagnosi manag diseaseshap around train prioriti nh develop framework provid comprehens educ medic ultrasound clinic techniqu core scientif principl advanc career develop highli skill practition – youll soon readi make impact patient outcom work vital fieldmak impactthi cours give opportun,diagnost imag medic ultrasound msc,univers leed,leed,24593.68
Just a moment...,,,[],,,,,,,,,,,moment,,,
M.Sc. Digital Supply Chain Management,SRH Berlin University of Applied Sciences,SRH Hochschule Berlin | Master,['Full Time'],"Study ProgrammeThe digitalisation of the global economy, socio-political changes, and cost pressures have a big impact on the logistics and supply chain industry. Thus, companies are looking for experts who know how to tackle digital change and use insights from data to come up with innovative supply chain solutions and business strategies.Learn how to manage these challenges and become part of a new generation of supply chain managers who know how to deal with new digital solutions and complex SCM platforms while working in a global and diverse environment.","October, April","- Tuition fees | EU/EEA students: €800/month; Non-EU/EEA students: €6,450/semester - Enrolment fee | EU/EEA students: €500; Non-EU/EEA students: €900",MSc,2 years,Berlin,Germany,On Campus,https://www.findamasters.com/masters-degrees/course/m-sc-digital-supply-chain-management/?i2887d7869c70879,studi programmeth digitalis global economi sociopolit chang cost pressur big impact logist suppli chain industri thu compani look expert know tackl digit chang use insight data come innov suppli chain solut busi strategieslearn manag challeng becom part new gener suppli chain manag know deal new digit solut complex scm platform work global divers environ,msc digit suppli chain manag,srh berlin univers appli scienc,berlin,5895.36
Artificial Intelligence and Medical Imaging MSc,University College London,Department of Medical Physics and Bioengineering,['Full Time'],"Register your interest in graduate study at UCLThe MSc Artificial Intelligence and Medical Imaging teaches the underlying concepts of Medical Imaging and Artificial Intelligence (AI), and how these technologies can be deployed in clinical environments, to help improve detection of disease and diagnosis from imaging data with the aim to enhance patient care.This MSc Programme covers the core technology, applications and the state-of-the-art in medical imaging technology and its computational analysis. You will undertake a series of compulsory modules, designed to teach the core methods and techniques in both AI and Medical Imaging: ",September,"Full time - £16,100",MSc,1 year full time,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/artificial-intelligence-and-medical-imaging-msc/?i274d1841c70644,regist interest graduat studi uclth msc artifici intellig medic imag teach underli concept medic imag artifici intellig ai technolog deploy clinic environ help improv detect diseas diagnosi imag data aim enhanc patient carethi msc programm cover core technolog applic stateoftheart medic imag technolog comput analysi undertak seri compulsori modul design teach core method techniqu ai medic imag,artifici intellig medic imag msc,univers colleg london,london,12773.26
FindAMasters | 500 Error : Internal Server Error,,,[],,,,,,,,,,,findamast 500 error intern server error,,,
Master's in Innovation and Social Entrepreneurship,King Stage,Postgraduate,['Full Time'],The Master's in Innovation and Social Entrepreneurship will equip you with the knowledge and skills required to set up your own business or work in a range of roles in your chosen sector.The course will be taught by an academic team with a strong background in innovation and leadership. The course will underpin your knowledge with the relevant theory and link it to practice. You will have a clear understanding of the entrepreneurial skills required to create a start-up or use the skills gained to work in any organisation.,October,Choosing to pursue a Master's is an important decision and is a substantial investment in yourself. The fees for a Master's in Innovation and Social Entrepreneurship remain the same for both UK and European students.  UK and EU: £8.500 Internationals: £12.000,"MSc,Masters Module",12 months,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/master-s-in-innovation-and-social-entrepreneurship/?i3590d8762c67602,master innov social entrepreneurship equip knowledg skill requir set busi work rang role chosen sectorth cours taught academ team strong background innov leadership cours underpin knowledg relev theori link practic clear understand entrepreneuri skill requir creat startup use skill gain work organis,master innov social entrepreneurship,king stage,london,9.52
Advancing Practice Sensory Integration (MSc),Sheffield Hallam University,Postgraduate Courses,['Full Time'],"Develop your knowledge and understanding of the neuroscience underpinning sensory integration and processing, and the theory and application of Ayres Sensory Integration®.Course summaryGain the knowledge and confidence to work in advanced sensory integration.See how your learning can contribute to the growing evidence base.Plan and implement a research study focused on sensory integration. This course is available to occupational therapists, physiotherapists and speech and language therapists. You’ll gain the knowledge and skills to develop first as a practitioner in sensory integration – and then as an advanced practitioner. ","January, April","Our tuition fee for UK students starting part-time study in 2023/24 is £6,689 for the course.  Please see the university website for further information on fees for this course.",MSc,2 / 4 years distance learning,Sheffield,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/advancing-practice-sensory-integration-msc/?i219d2021c68022,develop knowledg understand neurosci underpin sensori integr process theori applic ayr sensori integration®cours summarygain knowledg confid work advanc sensori integrationse learn contribut grow evid baseplan implement research studi focus sensori integr cours avail occup therapist physiotherapist speech languag therapist ’ gain knowledg skill develop first practition sensori integr – advanc practition,advanc practic sensori integr msc,sheffield hallam univers,sheffield,5306.85
Environmental Management - MSc,"University of the West of England, Bristol",Department of Geography and Environmental Management,"['Full Time', 'Part Time']","Environmental and sustainability issues are at the forefront of global concerns. Consequently, globally there is increasing demand for competent, qualified environmental managers. Managing the environment is of increasing importance to governments and industry. By choosing to study this course at UWE Bristol (two-time winner of the International Green Gown Awards) you will develop expertise in key areas which will enhance your employability.Developing skills for wide-ranging",September,Full time Home Award Fee £9000 Home Module Fee (15 Credit) £750  Part time Home Module Fee (15 Credit) £750 Offshore Module Fee (15 Credit) £1188,MSc,"1 year full-time, 2 years part-time",Bristol,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/environmental-management-msc/?i359d5890c34167,environment sustain issu forefront global concern consequ global increas demand compet qualifi environment manag manag environ increas import govern industri choos studi cours uwe bristol twotim winner intern green gown award develop expertis key area enhanc employabilitydevelop skill widerang,environment manag msc,univers west england bristol,bristol,7140.33
Language Sciences (Sign Language and Deaf Studies) MSc,University College London,Division of Psychology and Language Sciences,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThe Language Sciences MSc programme provides an opportunity for in-depth study in one or more areas of language science. It is an umbrella degree with four separate specialised routes. Each route follows a common structure, enabling students to tailor the degree to their own interests.About this degreeThe Language Sciences MSc programme provides an opportunity for in-depth study in one or more areas of language science. It is an umbrella degree with four separate specialised routes. Each route follows a common structure, enabling students to tailor the degree to their own interests.",September,"Full time - £14,100 Part time - £7,050",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/language-sciences-sign-language-and-deaf-studies-msc/?i274d1836c28364,regist interest graduat studi uclth languag scienc msc programm provid opportun indepth studi one area languag scienc umbrella degre four separ specialis rout rout follow common structur enabl student tailor degre interestsabout degreeth languag scienc msc programm provid opportun indepth studi one area languag scienc umbrella degre four separ specialis rout rout follow common structur enabl student tailor degre interest,languag scienc sign languag deaf studi msc,univers colleg london,london,11186.52
Dental Public Health - MSc,University of Leeds,School of Dentistry,['Full Time'],"Dental public health offers you the opportunity to enhance professional, clinical and academic knowledge alongside others from multi-disciplinary backgrounds around the world.The course can equip you with the understanding and skills to manage the competing demands, resource implications and expectations inherent in providing a 21st century public dental service. It will suit dental professionals or public health professionals who want to grow their knowledge, skills and commitment to develop equitable and fair dental health services. It includes tutors from outside the university environment with specialist knowledge and experience in oral health protection and the management of dental services locally.",September,"UK: £12,750 (total) International: £31,000 (Total)",MSc,1 year full time,Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/dental-public-health-msc/?i321d6218c39212,dental public health offer opportun enhanc profession clinic academ knowledg alongsid other multidisciplinari background around worldth cours equip understand skill manag compet demand resourc implic expect inher provid 21st centuri public dental servic suit dental profession public health profession want grow knowledg skill commit develop equit fair dental health servic includ tutor outsid univers environ specialist knowledg experi oral health protect manag dental servic local,dental public health msc,univers leed,leed,24594.47
Clinical Medicine (Leadership and Management) MSc,University of Wolverhampton,School of Medicine,"['Full Time', 'Part Time']","The MSc Clinical Medicine (Leadership and Management) has been developed by practicing NHS Consultants and Health Academics in consultation with NHS Trust Partners. The course is designed for Medical Doctors and other Healthcare Professionals to develop and refine their clinical, leadership and research skills and develop understanding of effective teamwork and best practice.The speciality pathway (Leadership and Management) aims to enhance innovation, leadership, teaching, learning and research skills, thereby, facilitating personal and professional development and strengthening participants’ ability to bring about positive change, solve problems effectively, and ensure patient safety.See website for module",September,Home - Full-time - £11550 per year Home - Part-time - £5775 per year International - Full-time - £15950 per year,"MSc,PGDip,PGCert","1 year full time, 2 years part time",Wolverhampton,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/clinical-medicine-leadership-and-management-msc/?i373d8426c51846,msc clinic medicin leadership manag develop practic nh consult health academ consult nh trust partner cours design medic doctor healthcar profession develop refin clinic leadership research skill develop understand effect teamwork best practiceth special pathway leadership manag aim enhanc innov leadership teach learn research skill therebi facilit person profession develop strengthen particip ’ abil bring posit chang solv problem effect ensur patient safetyse websit modul,clinic medicin leadership manag msc,univers wolverhampton,wolverhampton,12654.25
Advanced Technology Management MSc,University of Wolverhampton,School of Engineering,"['Full Time', 'Part Time']",Course ModulesYEAR 1Applied Stress,September,Home - Full-time - £8395 per year Home - Part-time - £4198 per year International - Full-time - £15450 per year,MSc,"1 year full time, part time options available",Wolverhampton,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-technology-management-msc/?i373d5338c71429,cours modulesyear 1appli stress,advanc technolog manag msc,univers wolverhampton,wolverhampton,12257.57
Artificial Intelligence MSc / PGCert,University of Leeds,Leeds Online,[],"About the Masters/Postgraduate Certificate in Artificial Intelligence Designed and delivered by computer scientists, the innovative online Artificial Intelligence MSc and Postgraduate Certificate (PGCert) from the University of Leeds is designed specifically for professionals who recognise the importance of artificial intelligence (AI) to their sector. Purely AI focused and covering an extensive range of AI and machine learning tools and techniques, students will evaluate the risks and opportunities associated with modern AI technologies and market approaches. This will help prepare them to influence strategies in their own organisations which drive business efficiencies.",See Course,"Course starting between 1 September 2023 - 31 August 2024  MSc: £15,000 PGCert: £5,800  Applicants will have the option to pay their fees on a module-by-module basis. However, this is not an option if your fees are being paid directly to the University by your employer or sponsor.","PGCert,MSc",2-4 years,Leeds,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/artificial-intelligence-msc-pgcert/?i321d8597c64297,masterspostgradu certif artifici intellig design deliv comput scientist innov onlin artifici intellig msc postgradu certif pgcert univers leed design specif profession recognis import artifici intellig ai sector pure ai focus cover extens rang ai machin learn tool techniqu student evalu risk opportun associ modern ai technolog market approach help prepar influenc strategi organis drive busi effici,artifici intellig msc pgcert,univers leed,leed,11900.55
Forensic Explosives and Explosion Investigation (MSc),Cranfield University,Cranfield Forensic Institute,"['Full Time', 'Part Time']","This course introduces students to the investigation of explosive and CBRN crime scenes. It considers both pre and post blast scenes, and associated scenes. The MSc also develops the student's ability to apply Forensic Intelligence and exploitation techniques, and blend it with Open Source Intelligence.Who is it for?The course offers students a wide range of different experiences with unique facilities available to no other university in the UK.Places on the MSc Forensic Explosive and Explosion Investigation are competitive. Students come from a wide range of backgrounds, usually with a science or forensic science first degree. Many students come from abroad, especially Europe, Africa and North America.",October,"• MSc Full-time £11,330 • MSc Part-time £11,330 • PgDip Full-time £9,075 • PgDip Part-time £9,075","MSc,PGDip,Other","MSc: 11 months full-time, up to three years part-time. PgDip: Up to 11 months full-time, up to two years part-time",Bedford,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/forensic-explosives-and-explosion-investigation-msc/?i50d8486c32464,cours introduc student investig explos cbrn crime scene consid pre post blast scene associ scene msc also develop student abil appli forens intellig exploit techniqu blend open sourc intelligencewho forth cours offer student wide rang differ experi uniqu facil avail univers ukplac msc forens explos explos investig competit student come wide rang background usual scienc forens scienc first degre mani student come abroad especi europ africa north america,forens explos explos investig msc,cranfield univers,bedford,8988.88
Civil Engineering MSc,University College London,"Department of Civil, Environmental & Geomatic Engineering","['Full Time', 'Part Time']","Register your interest in graduate study at UCLThe programme combines traditional lectures with group projects and an individual research project in the student's chosen specialist field.About this degreeThis programme enables students to develop advanced knowledge of civil engineering and associated engineering and scientific disciplines such as structural dynamics, sustainable building design, transport, fluids, geotechnics, water and drainage, environmental and coastal engineering, planning and construction. It provides students with the awareness of the context in which engineering operates, and equips them with the transferable skills necessary for careers in industry and research.",September,"Full time - £18,000 Part time - £9,000",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/civil-engineering-msc/?i274d1826c20058,regist interest graduat studi uclth programm combin tradit lectur group project individu research project student chosen specialist fieldabout degreethi programm enabl student develop advanc knowledg civil engin associ engin scientif disciplin structur dynam sustain build design transport fluid geotechn water drainag environment coastal engin plan construct provid student awar context engin oper equip transfer skill necessari career industri research,civil engin msc,univers colleg london,london,14280.66
International Business Management and Corporate Social Responsibility - MSc,Oxford Brookes University,Oxford Brookes Business School,"['Full Time', 'Part Time']","Develop your career with our MSc International Business Management and Corporate Social Responsibility. Our course is accredited by the Association of MBAs (AMBA) and the Chartered Management Institute (CMI).You will learn to:identify, analyse and evaluate a range of business related issuesdevelop suitable responses to these problemsselect the most appropriate course of actionSpecialising in corporate social responsibility, you will:",January,"Home (UK) full time - £11,400 Home (UK) part time - £5,700 Home (UK) sandwich (placement) - £2,000 International full time - £16,800 International sandwich (placement) - £2,000",MSc,"1 year full time, 2 years part time",Oxford,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/international-business-management-and-corporate-social-responsibility-msc/?i188d3714c49960,develop career msc intern busi manag corpor social respons cours accredit associ mba amba charter manag institut cmiyou learn toidentifi analys evalu rang busi relat issuesdevelop suitabl respons problemsselect appropri cours actionspecialis corpor social respons,intern busi manag corpor social respons msc,oxford brook univers,oxford,13328.62
